Channel_Name,Subscribers,Views,Total_Videos,Channel_Id
Deena Gergis,19800,242480,21,UU1FksTDit4ij9ogFAUC9xxg
Luke Barousse,367000,17087849,137,UULLw7jmFsvfIVaUFsLs8mlQ
Ken Jee,248000,8328302,280,UUiT9RITQ9PW6BhXK0y2jaeg
Ranesh Guruparan,3640,112088,64,UUc6lpSsVek7NNwzcdKiArkw
Youssef Hosni,1740,21094,48,UUeEcSgRzYFuVt-2Yk1ULdhQ
Learn with Lukas,16500,777154,38,UUw_LFe2pS8x3NyipGNJgeEA
Alex The Analyst,542000,21983566,229,UU7cs8q-gJRlGwj4A8OmCmXg
Data With Mo,46500,1249584,40,UUDybamfye5An6p-j1t2YMsg
edrea,4060,189015,10,UUe8377g-WtGma8H_qXaHOlQ
techTFQ,223000,11199425,91,UUnz-ZXXER4jOvuED5trXfEA
Lore So What,13300,631529,93,UUtoNXlIegvxkvf5Ji8S57Ag
Krish Naik,791000,79410371,1696,UUNU_lfiiWBdtULKOw6X0Dig
Mohamed Al Assaal - اتعلم مع العسال,412000,16165024,504,UUIchWfEE4FevYhRh9HXsSbw
Mustafa Othman,118000,3973041,358,UUITfscBBm40O9MgtqiQC00w
Annamonova,6550,641726,56,UUMPsUECkDUtzWJ2KtlUVL4A
Sundas Khalid,159000,7517368,107,UUteRPiisgIoHtMgqHegpWAQ
Justin Shin,21300,1303426,37,UUe4c5YQfFsCQVMsOnJOiTIw
codebasics,829000,56500036,612,UUh9nVJoWXmFb7sLApWGcLPQ
Thu Vu data analytics,160000,5085374,73,UUJQJAI7IjbLcpsjWdSzYz0Q
